,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
0,200010310ATL,Charlotte,CHH,106,Atlanta,ATL,82,Charlotte,CHH,Atlanta,ATL
1,200010310CHI,Sacramento,SAC,100,Chicago,CHI,81,Sacramento,SAC,Chicago,CHI
2,200010310DAL,Milwaukee,MIL,93,Dallas,DAL,97,Dallas,DAL,Milwaukee,MIL
3,200010310GSW,Phoenix,PHO,94,Golden State,GSW,96,Golden State,GSW,Phoenix,PHO
4,200010310HOU,Minnesota,MIN,106,Houston,HOU,98,Minnesota,MIN,Houston,HOU
5,200010310NJN,Cleveland,CLE,86,New Jersey,NJN,82,Cleveland,CLE,New Jersey,NJN
6,200010310NYK,Philadelphia,PHI,101,New York,NYK,72,Philadelphia,PHI,New York,NYK
7,200010310ORL,Washington,WAS,86,Orlando,ORL,97,Orlando,ORL,Washington,WAS
8,200010310POR,LA Lakers,LAL,96,Portland,POR,86,LA Lakers,LAL,Portland,POR
9,200010310SAS,Indiana,IND,85,San Antonio,SAS,98,San Antonio,SAS,Indiana,IND
10,200010310TOR,Detroit,DET,104,Toronto,TOR,95,Detroit,DET,Toronto,TOR
11,200010310UTA,LA Clippers,LAC,94,Utah,UTA,107,Utah,UTA,LA Clippers,LAC
12,200010310VAN,Seattle,SEA,88,Vancouver,VAN,94,Vancouver,VAN,Seattle,SEA
13,200011010BOS,Detroit,DET,83,Boston,BOS,103,Boston,BOS,Detroit,DET
14,200011010CHH,Washington,WAS,95,Charlotte,CHH,77,Washington,WAS,Charlotte,CHH
15,200011010CLE,Sacramento,SAC,100,Cleveland,CLE,102,Cleveland,CLE,Sacramento,SAC
16,200011010LAL,Utah,UTA,97,LA Lakers,LAL,92,Utah,UTA,LA Lakers,LAL
17,200011010MIA,Orlando,ORL,79,Miami,MIA,105,Miami,MIA,Orlando,ORL
18,200011010PHI,Toronto,TOR,98,Philadelphia,PHI,104,Philadelphia,PHI,Toronto,TOR
19,200011010SEA,Denver,DEN,99,Seattle,SEA,112,Seattle,SEA,Denver,DEN
20,200011020DAL,Indiana,IND,88,Dallas,DAL,94,Dallas,DAL,Indiana,IND
21,200011020DEN,Golden State,GSW,97,Denver,DEN,101,Denver,DEN,Golden State,GSW
22,200011020HOU,Milwaukee,MIL,93,Houston,HOU,115,Houston,HOU,Milwaukee,MIL
23,200011020LAC,Vancouver,VAN,99,LA Clippers,LAC,91,Vancouver,VAN,LA Clippers,LAC
24,200011020NYK,Atlanta,ATL,69,New York,NYK,94,New York,NYK,Atlanta,ATL
25,200011020PHO,Portland,POR,82,Phoenix,PHO,108,Phoenix,PHO,Portland,POR
26,200011020SAS,Minnesota,MIN,91,San Antonio,SAS,103,San Antonio,SAS,Minnesota,MIN
27,200011030BOS,Toronto,TOR,91,Boston,BOS,93,Boston,BOS,Toronto,TOR
28,200011030CHH,Miami,MIA,79,Charlotte,CHH,83,Charlotte,CHH,Miami,MIA
29,200011030CHI,New Jersey,NJN,92,Chicago,CHI,82,New Jersey,NJN,Chicago,CHI
30,200011030DET,Sacramento,SAC,100,Detroit,DET,93,Sacramento,SAC,Detroit,DET
31,200011030ORL,Philadelphia,PHI,87,Orlando,ORL,80,Philadelphia,PHI,Orlando,ORL
32,200011030WAS,New York,NYK,80,Washington,WAS,76,New York,NYK,Washington,WAS
33,200011040ATL,Orlando,ORL,107,Atlanta,ATL,104,Orlando,ORL,Atlanta,ATL
34,200011040CLE,Boston,BOS,89,Cleveland,CLE,91,Cleveland,CLE,Boston,BOS
35,200011040DAL,Utah,UTA,112,Dallas,DAL,106,Utah,UTA,Dallas,DAL
36,200011040DEN,Phoenix,PHO,102,Denver,DEN,99,Phoenix,PHO,Denver,DEN
37,200011040GSW,San Antonio,SAS,117,Golden State,GSW,105,San Antonio,SAS,Golden State,GSW
38,200011040IND,Chicago,CHI,81,Indiana,IND,94,Indiana,IND,Chicago,CHI
39,200011040LAC,Houston,HOU,74,LA Clippers,LAC,77,LA Clippers,LAC,Houston,HOU
40,200011040MIA,Philadelphia,PHI,84,Miami,MIA,82,Philadelphia,PHI,Miami,MIA
41,200011040MIL,Detroit,DET,88,Milwaukee,MIL,97,Milwaukee,MIL,Detroit,DET
42,200011040MIN,Sacramento,SAC,91,Minnesota,MIN,99,Minnesota,MIN,Sacramento,SAC
43,200011040NJN,Charlotte,CHH,98,New Jersey,NJN,87,Charlotte,CHH,New Jersey,NJN
44,200011040SEA,Portland,POR,97,Seattle,SEA,90,Portland,POR,Seattle,SEA
45,200011040TOR,Washington,WAS,96,Toronto,TOR,103,Toronto,TOR,Washington,WAS
46,200011040VAN,LA Lakers,LAL,98,Vancouver,VAN,89,LA Lakers,LAL,Vancouver,VAN
47,200011050LAL,LA Clippers,LAC,103,LA Lakers,LAL,108,LA Lakers,LAL,LA Clippers,LAC
48,200011050PHO,Houston,HOU,99,Phoenix,PHO,104,Phoenix,PHO,Houston,HOU
49,200011060DEN,Dallas,DAL,108,Denver,DEN,96,Dallas,DAL,Denver,DEN
50,200011060ORL,Seattle,SEA,99,Orlando,ORL,110,Orlando,ORL,Seattle,SEA
51,200011060SAC,Portland,POR,75,Sacramento,SAC,79,Sacramento,SAC,Portland,POR
52,200011060UTA,Minnesota,MIN,92,Utah,UTA,98,Utah,UTA,Minnesota,MIN
53,200011060VAN,Atlanta,ATL,87,Vancouver,VAN,97,Vancouver,VAN,Atlanta,ATL
54,200011070CHI,Washington,WAS,88,Chicago,CHI,83,Washington,WAS,Chicago,CHI
55,200011070HOU,LA Lakers,LAL,74,Houston,HOU,84,Houston,HOU,LA Lakers,LAL
56,200011070MIL,New York,NYK,103,Milwaukee,MIL,89,New York,NYK,Milwaukee,MIL
57,200011070PHO,San Antonio,SAS,81,Phoenix,PHO,100,Phoenix,PHO,San Antonio,SAS
58,200011070POR,Atlanta,ATL,88,Portland,POR,97,Portland,POR,Atlanta,ATL
59,200011070TOR,Boston,BOS,75,Toronto,TOR,105,Toronto,TOR,Boston,BOS
60,200011080DAL,Vancouver,VAN,101,Dallas,DAL,74,Vancouver,VAN,Dallas,DAL
61,200011080DEN,Minnesota,MIN,107,Denver,DEN,109,Denver,DEN,Minnesota,MIN
62,200011080IND,Milwaukee,MIL,97,Indiana,IND,108,Indiana,IND,Milwaukee,MIL
63,200011080LAC,Utah,UTA,93,LA Clippers,LAC,87,Utah,UTA,LA Clippers,LAC
64,200011080MIA,Seattle,SEA,81,Miami,MIA,87,Miami,MIA,Seattle,SEA
65,200011080NYK,Cleveland,CLE,99,New York,NYK,97,Cleveland,CLE,New York,NYK
66,200011080ORL,Charlotte,CHH,96,Orlando,ORL,90,Charlotte,CHH,Orlando,ORL
67,200011080PHI,Detroit,DET,94,Philadelphia,PHI,103,Philadelphia,PHI,Detroit,DET
68,200011080SAC,Golden State,GSW,84,Sacramento,SAC,115,Sacramento,SAC,Golden State,GSW
69,200011080SAS,LA Lakers,LAL,81,San Antonio,SAS,91,San Antonio,SAS,LA Lakers,LAL
70,200011080WAS,New Jersey,NJN,102,Washington,WAS,86,New Jersey,NJN,Washington,WAS
71,200011090CHH,Seattle,SEA,102,Charlotte,CHH,94,Seattle,SEA,Charlotte,CHH
72,200011090CHI,Orlando,ORL,90,Chicago,CHI,95,Chicago,CHI,Orlando,ORL
73,200011090HOU,Vancouver,VAN,78,Houston,HOU,85,Houston,HOU,Vancouver,VAN
74,200011090MIN,Philadelphia,PHI,84,Minnesota,MIN,82,Philadelphia,PHI,Minnesota,MIN
75,200011090NJN,Detroit,DET,108,New Jersey,NJN,94,Detroit,DET,New Jersey,NJN
76,200011090PHO,Atlanta,ATL,79,Phoenix,PHO,88,Phoenix,PHO,Atlanta,ATL
77,200011090POR,Denver,DEN,91,Portland,POR,107,Portland,POR,Denver,DEN
78,200011100BOS,New York,NYK,103,Boston,BOS,101,New York,NYK,Boston,BOS
79,200011100DAL,San Antonio,SAS,77,Dallas,DAL,79,Dallas,DAL,San Antonio,SAS
80,200011100GSW,Sacramento,SAC,114,Golden State,GSW,107,Sacramento,SAC,Golden State,GSW
81,200011100LAC,Atlanta,ATL,106,LA Clippers,LAC,115,LA Clippers,LAC,Atlanta,ATL
82,200011100TOR,Cleveland,CLE,88,Toronto,TOR,115,Toronto,TOR,Cleveland,CLE
83,200011100UTA,Miami,MIA,87,Utah,UTA,80,Miami,MIA,Utah,UTA
84,200011100WAS,Indiana,IND,86,Washington,WAS,74,Indiana,IND,Washington,WAS
85,200011110CHI,Toronto,TOR,98,Chicago,CHI,75,Toronto,TOR,Chicago,CHI
86,200011110CLE,Washington,WAS,73,Cleveland,CLE,86,Cleveland,CLE,Washington,WAS
87,200011110IND,Detroit,DET,84,Indiana,IND,94,Indiana,IND,Detroit,DET
88,200011110MIL,Minnesota,MIN,103,Milwaukee,MIL,92,Minnesota,MIN,Milwaukee,MIL
89,200011110NJN,Seattle,SEA,91,New Jersey,NJN,126,New Jersey,NJN,Seattle,SEA
90,200011110NYK,Charlotte,CHH,67,New York,NYK,81,New York,NYK,Charlotte,CHH
91,200011110PHI,Boston,BOS,83,Philadelphia,PHI,85,Philadelphia,PHI,Boston,BOS
92,200011110PHO,Miami,MIA,82,Phoenix,PHO,84,Phoenix,PHO,Miami,MIA
93,200011110POR,Houston,HOU,88,Portland,POR,111,Portland,POR,Houston,HOU
94,200011110SAS,Vancouver,VAN,78,San Antonio,SAS,91,San Antonio,SAS,Vancouver,VAN
95,200011120DEN,LA Clippers,LAC,79,Denver,DEN,95,Denver,DEN,LA Clippers,LAC
96,200011120DET,Seattle,SEA,92,Detroit,DET,101,Detroit,DET,Seattle,SEA
97,200011120GSW,Orlando,ORL,105,Golden State,GSW,99,Orlando,ORL,Golden State,GSW
98,200011120LAL,Houston,HOU,99,LA Lakers,LAL,105,LA Lakers,LAL,Houston,HOU
99,200011120SAC,Dallas,DAL,84,Sacramento,SAC,109,Sacramento,SAC,Dallas,DAL
100,200011130LAC,Dallas,DAL,90,LA Clippers,LAC,76,Dallas,DAL,LA Clippers,LAC
101,200011130NJN,Portland,POR,94,New Jersey,NJN,82,Portland,POR,New Jersey,NJN
102,200011140ATL,Portland,POR,97,Atlanta,ATL,99,Atlanta,ATL,Portland,POR
103,200011140CLE,Golden State,GSW,86,Cleveland,CLE,96,Cleveland,CLE,Golden State,GSW
104,200011140HOU,Chicago,CHI,83,Houston,HOU,110,Houston,HOU,Chicago,CHI
105,200011140LAL,Denver,DEN,103,LA Lakers,LAL,119,LA Lakers,LAL,Denver,DEN
106,200011140MIA,Charlotte,CHH,86,Miami,MIA,89,Miami,MIA,Charlotte,CHH
107,200011140SAC,Orlando,ORL,82,Sacramento,SAC,96,Sacramento,SAC,Orlando,ORL
108,200011140SAS,Utah,UTA,79,San Antonio,SAS,86,San Antonio,SAS,Utah,UTA
109,200011140SEA,New York,NYK,75,Seattle,SEA,96,Seattle,SEA,New York,NYK
110,200011150BOS,Washington,WAS,109,Boston,BOS,116,Boston,BOS,Washington,WAS
111,200011150DET,Indiana,IND,92,Detroit,DET,88,Indiana,IND,Detroit,DET
112,200011150LAC,New York,NYK,74,LA Clippers,LAC,78,LA Clippers,LAC,New York,NYK
113,200011150MIL,Atlanta,ATL,74,Milwaukee,MIL,84,Milwaukee,MIL,Atlanta,ATL
114,200011150MIN,Golden State,GSW,90,Minnesota,MIN,92,Minnesota,MIN,Golden State,GSW
115,200011150NJN,Miami,MIA,91,New Jersey,NJN,93,New Jersey,NJN,Miami,MIA
116,200011150PHI,Cleveland,CLE,98,Philadelphia,PHI,107,Philadelphia,PHI,Cleveland,CLE
117,200011150PHO,Dallas,DAL,78,Phoenix,PHO,99,Phoenix,PHO,Dallas,DAL
118,200011160DEN,Chicago,CHI,85,Denver,DEN,89,Denver,DEN,Chicago,CHI
119,200011160HOU,Charlotte,CHH,80,Houston,HOU,84,Houston,HOU,Charlotte,CHH
120,200011160SAC,LA Lakers,LAL,112,Sacramento,SAC,110,LA Lakers,LAL,Sacramento,SAC
121,200011160TOR,Portland,POR,86,Toronto,TOR,80,Portland,POR,Toronto,TOR
122,200011160UTA,Orlando,ORL,84,Utah,UTA,99,Utah,UTA,Orlando,ORL
123,200011160VAN,LA Clippers,LAC,76,Vancouver,VAN,72,LA Clippers,LAC,Vancouver,VAN
124,200011160WAS,San Antonio,SAS,99,Washington,WAS,95,San Antonio,SAS,Washington,WAS
125,200011170BOS,Atlanta,ATL,99,Boston,BOS,106,Boston,BOS,Atlanta,ATL
126,200011170CHH,Detroit,DET,96,Charlotte,CHH,89,Detroit,DET,Charlotte,CHH
127,200011170IND,Golden State,GSW,92,Indiana,IND,90,Golden State,GSW,Indiana,IND
128,200011170MIL,Cleveland,CLE,76,Milwaukee,MIL,89,Milwaukee,MIL,Cleveland,CLE
129,200011170MIN,San Antonio,SAS,94,Minnesota,MIN,99,Minnesota,MIN,San Antonio,SAS
130,200011170PHI,Miami,MIA,73,Philadelphia,PHI,94,Philadelphia,PHI,Miami,MIA
131,200011170PHO,New York,NYK,90,Phoenix,PHO,85,New York,NYK,Phoenix,PHO
132,200011170SEA,Dallas,DAL,99,Seattle,SEA,95,Dallas,DAL,Seattle,SEA
133,200011180ATL,Minnesota,MIN,94,Atlanta,ATL,84,Minnesota,MIN,Atlanta,ATL
134,200011180DEN,LA Lakers,LAL,86,Denver,DEN,87,Denver,DEN,LA Lakers,LAL
135,200011180HOU,Phoenix,PHO,89,Houston,HOU,94,Houston,HOU,Phoenix,PHO
136,200011180LAC,Seattle,SEA,86,LA Clippers,LAC,83,Seattle,SEA,LA Clippers,LAC
137,200011180MIA,Portland,POR,80,Miami,MIA,86,Miami,MIA,Portland,POR
138,200011180NJN,Indiana,IND,92,New Jersey,NJN,97,New Jersey,NJN,Indiana,IND
139,200011180TOR,Milwaukee,MIL,102,Toronto,TOR,111,Toronto,TOR,Milwaukee,MIL
140,200011180UTA,Chicago,CHI,64,Utah,UTA,109,Utah,UTA,Chicago,CHI
141,200011180VAN,Dallas,DAL,91,Vancouver,VAN,88,Dallas,DAL,Vancouver,VAN
142,200011180WAS,Boston,BOS,89,Washington,WAS,109,Washington,WAS,Boston,BOS
143,200011190DET,Charlotte,CHH,105,Detroit,DET,96,Charlotte,CHH,Detroit,DET
144,200011190LAL,Chicago,CHI,96,LA Lakers,LAL,104,LA Lakers,LAL,Chicago,CHI
145,200011190NYK,Golden State,GSW,71,New York,NYK,88,New York,NYK,Golden State,GSW
146,200011190ORL,Portland,POR,110,Orlando,ORL,102,Portland,POR,Orlando,ORL
147,200011200BOS,Philadelphia,PHI,114,Boston,BOS,90,Philadelphia,PHI,Boston,BOS
148,200011200LAC,New Jersey,NJN,86,LA Clippers,LAC,85,New Jersey,NJN,LA Clippers,LAC
149,200011200TOR,Charlotte,CHH,100,Toronto,TOR,64,Charlotte,CHH,Toronto,TOR
150,200011200UTA,Dallas,DAL,107,Utah,UTA,98,Dallas,DAL,Utah,UTA
151,200011200VAN,Denver,DEN,95,Vancouver,VAN,92,Denver,DEN,Vancouver,VAN
152,200011210CLE,Detroit,DET,98,Cleveland,CLE,117,Cleveland,CLE,Detroit,DET
153,200011210DAL,Seattle,SEA,116,Dallas,DAL,110,Seattle,SEA,Dallas,DAL
154,200011210GSW,Chicago,CHI,77,Golden State,GSW,89,Golden State,GSW,Chicago,CHI
155,200011210IND,Houston,HOU,101,Indiana,IND,89,Houston,HOU,Indiana,IND
156,200011210ORL,New York,NYK,85,Orlando,ORL,84,New York,NYK,Orlando,ORL
157,200011210WAS,Portland,POR,104,Washington,WAS,94,Portland,POR,Washington,WAS
158,200011220ATL,New York,NYK,74,Atlanta,ATL,78,Atlanta,ATL,New York,NYK
159,200011220BOS,Houston,HOU,81,Boston,BOS,96,Boston,BOS,Houston,HOU
160,200011220CHH,Philadelphia,PHI,73,Charlotte,CHH,88,Charlotte,CHH,Philadelphia,PHI
161,200011220LAL,Golden State,GSW,91,LA Lakers,LAL,111,LA Lakers,LAL,Golden State,GSW
162,200011220MIA,Cleveland,CLE,86,Miami,MIA,67,Cleveland,CLE,Miami,MIA
163,200011220MIL,Portland,POR,93,Milwaukee,MIL,84,Portland,POR,Milwaukee,MIL
164,200011220MIN,Vancouver,VAN,100,Minnesota,MIN,101,Minnesota,MIN,Vancouver,VAN
165,200011220PHO,New Jersey,NJN,85,Phoenix,PHO,97,Phoenix,PHO,New Jersey,NJN
166,200011220SAC,Chicago,CHI,71,Sacramento,SAC,100,Sacramento,SAC,Chicago,CHI
167,200011220SAS,Seattle,SEA,85,San Antonio,SAS,112,San Antonio,SAS,Seattle,SEA
168,200011220UTA,Denver,DEN,78,Utah,UTA,116,Utah,UTA,Denver,DEN
169,200011230IND,Toronto,TOR,111,Indiana,IND,91,Toronto,TOR,Indiana,IND
170,200011240ATL,Philadelphia,PHI,76,Atlanta,ATL,67,Philadelphia,PHI,Atlanta,ATL
171,200011240BOS,Orlando,ORL,98,Boston,BOS,103,Boston,BOS,Orlando,ORL
172,200011240CLE,Miami,MIA,80,Cleveland,CLE,85,Cleveland,CLE,Miami,MIA
173,200011240DEN,San Antonio,SAS,92,Denver,DEN,102,Denver,DEN,San Antonio,SAS
174,200011240DET,Vancouver,VAN,96,Detroit,DET,118,Detroit,DET,Vancouver,VAN
175,200011240IND,Washington,WAS,87,Indiana,IND,99,Indiana,IND,Washington,WAS
176,200011240LAL,Minnesota,MIN,108,LA Lakers,LAL,115,LA Lakers,LAL,Minnesota,MIN
177,200011240MIL,Charlotte,CHH,106,Milwaukee,MIL,90,Charlotte,CHH,Milwaukee,MIL
178,200011240PHO,Golden State,GSW,74,Phoenix,PHO,80,Phoenix,PHO,Golden State,GSW
179,200011240SEA,LA Clippers,LAC,81,Seattle,SEA,98,Seattle,SEA,LA Clippers,LAC
180,200011240UTA,New Jersey,NJN,85,Utah,UTA,97,Utah,UTA,New Jersey,NJN
181,200011250CHH,Cleveland,CLE,98,Charlotte,CHH,109,Charlotte,CHH,Cleveland,CLE
182,200011250DAL,Denver,DEN,84,Dallas,DAL,108,Dallas,DAL,Denver,DEN
183,200011250GSW,Minnesota,MIN,93,Golden State,GSW,114,Golden State,GSW,Minnesota,MIN
184,200011250LAC,Phoenix,PHO,95,LA Clippers,LAC,89,Phoenix,PHO,LA Clippers,LAC
185,200011250MIA,Houston,HOU,91,Miami,MIA,80,Houston,HOU,Miami,MIA
186,200011250NYK,Toronto,TOR,79,New York,NYK,75,Toronto,TOR,New York,NYK
187,200011250ORL,Atlanta,ATL,92,Orlando,ORL,114,Orlando,ORL,Atlanta,ATL
188,200011250POR,New Jersey,NJN,84,Portland,POR,86,Portland,POR,New Jersey,NJN
189,200011250SAC,Seattle,SEA,101,Sacramento,SAC,125,Sacramento,SAC,Seattle,SEA
190,200011250SAS,Philadelphia,PHI,76,San Antonio,SAS,96,San Antonio,SAS,Philadelphia,PHI
191,200011250WAS,Milwaukee,MIL,100,Washington,WAS,107,Washington,WAS,Milwaukee,MIL
192,200011260BOS,Vancouver,VAN,98,Boston,BOS,87,Vancouver,VAN,Boston,BOS
193,200011260DET,Utah,UTA,94,Detroit,DET,79,Utah,UTA,Detroit,DET
194,200011260TOR,Chicago,CHI,89,Toronto,TOR,101,Toronto,TOR,Chicago,CHI
195,200011270LAC,LA Lakers,LAL,98,LA Clippers,LAC,83,LA Lakers,LAL,LA Clippers,LAC
196,200011270NYK,Vancouver,VAN,72,New York,NYK,97,New York,NYK,Vancouver,VAN
197,200011270ORL,Milwaukee,MIL,104,Orlando,ORL,95,Milwaukee,MIL,Orlando,ORL
198,200011280CHI,Minnesota,MIN,96,Chicago,CHI,76,Minnesota,MIN,Chicago,CHI
199,200011280CLE,Boston,BOS,87,Cleveland,CLE,72,Boston,BOS,Cleveland,CLE
200,200011280DAL,Toronto,TOR,93,Dallas,DAL,107,Dallas,DAL,Toronto,TOR
201,200011280HOU,Sacramento,SAC,88,Houston,HOU,81,Sacramento,SAC,Houston,HOU
202,200011280LAL,Indiana,IND,107,LA Lakers,LAL,124,LA Lakers,LAL,Indiana,IND
203,200011280MIA,Milwaukee,MIL,102,Miami,MIA,101,Milwaukee,MIL,Miami,MIA
204,200011280NJN,Utah,UTA,98,New Jersey,NJN,92,Utah,UTA,New Jersey,NJN
205,200011280POR,Seattle,SEA,105,Portland,POR,93,Seattle,SEA,Portland,POR
206,200011280WAS,Atlanta,ATL,102,Washington,WAS,75,Atlanta,ATL,Washington,WAS
207,200011290CHH,Toronto,TOR,79,Charlotte,CHH,103,Charlotte,CHH,Toronto,TOR
208,200011290DET,New Jersey,NJN,76,Detroit,DET,97,Detroit,DET,New Jersey,NJN
209,200011290LAC,Golden State,GSW,83,LA Clippers,LAC,106,LA Clippers,LAC,Golden State,GSW
210,200011290MIN,Denver,DEN,107,Minnesota,MIN,100,Denver,DEN,Minnesota,MIN
211,200011290NYK,Miami,MIA,84,New York,NYK,81,Miami,MIA,New York,NYK
212,200011290ORL,Utah,UTA,88,Orlando,ORL,86,Utah,UTA,Orlando,ORL
