,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals
0,LAC,1186,210,1703,4263,0.483,2059,962,0.839,807,49,11760,Los Angeles Clippers,467,1123,179,1588,4243,0.468,1985,996,0.783,780,432,880,5316,344,1561,0.363,566,2020,633,2682,0.529,1419,936,5630,1,354,1692,0.417,705,2170,631,2571,0.527,1354
1,BRK,1244,243,1658,4111,0.495,2033,1081,0.796,861,47,11405,Brooklyn Nets,419,1153,215,1524,4319,0.463,2000,1008,0.78,786,480,898,5402,361,1689,0.365,616,2004,595,2630,0.526,1384,890,5598,2,312,1713,0.392,671,2077,652,2398,0.568,1362
2,MIL,1181,219,1735,4206,0.485,2038,964,0.748,721,46,11065,Milwaukee Bucks,483,1157,225,1562,4266,0.456,1944,815,0.787,641,432,841,5196,319,1771,0.377,667,1994,599,2495,0.512,1277,794,5474,3,368,1726,0.392,677,2218,644,2480,0.549,1361
3,DEN,1267,206,1585,4204,0.488,2052,889,0.785,698,47,11430,Denver Nuggets,492,1241,207,1500,4028,0.469,1891,1022,0.775,792,443,904,5187,339,1686,0.364,613,1943,667,2342,0.546,1278,891,5430,4,385,1624,0.387,628,2077,628,2580,0.552,1424
4,SAC,1211,230,1527,4177,0.485,2027,1079,0.734,792,47,11305,Sacramento Kings,470,1195,211,1595,4244,0.489,2075,1030,0.802,826,485,923,5570,350,1518,0.391,594,2080,600,2726,0.543,1481,922,5412,5,309,1549,0.365,566,1997,628,2628,0.556,1461
5,UTA,1095,255,1715,4060,0.468,1899,1017,0.786,799,46,11065,Utah Jazz,507,1032,181,1505,4220,0.447,1886,876,0.774,678,466,886,4945,347,1427,0.347,495,1971,535,2793,0.498,1391,858,5380,6,299,1967,0.398,783,2222,655,2093,0.533,1116
6,PHI,1093,294,1686,4096,0.479,1963,1211,0.775,938,47,11405,Philadelphia 76ers,477,1108,209,1532,4165,0.451,1880,1072,0.763,818,454,994,5142,364,1552,0.363,564,1986,716,2613,0.504,1316,963,5374,7,419,1381,0.369,510,2163,725,2715,0.535,1453
7,NOP,1208,190,1600,4046,0.487,1971,1154,0.733,846,46,11090,New Orleans Pelicans,530,1214,265,1434,4054,0.471,1911,933,0.805,751,407,957,5274,338,1798,0.39,701,1841,590,2256,0.536,1210,812,5306,8,328,1444,0.359,518,2130,648,2602,0.558,1453
8,GSW,1295,230,1636,4161,0.463,1927,1022,0.775,792,47,11305,Golden State Warriors,366,1127,223,1761,4185,0.453,1895,1215,0.778,945,507,958,5337,350,1632,0.369,602,2268,726,2553,0.506,1293,1017,5295,9,376,1753,0.37,649,2002,691,2408,0.531,1278
9,ATL,1140,227,1616,4080,0.46,1876,1149,0.819,941,47,11330,Atlanta Hawks,516,1130,245,1518,4163,0.46,1917,1024,0.812,831,490,951,5221,354,1585,0.351,556,2008,587,2578,0.528,1361,929,5284,10,324,1624,0.364,591,2132,644,2456,0.523,1285
10,POR,930,241,1515,4169,0.446,1861,975,0.834,813,46,11065,Portland Trail Blazers,488,1165,203,1645,4037,0.481,1940,1069,0.775,828,468,855,5312,282,1597,0.378,604,2113,584,2440,0.548,1336,888,5279,11,320,1958,0.38,744,2003,524,2211,0.505,1117
11,BOS,1077,246,1558,4172,0.469,1956,995,0.761,757,47,11330,Boston Celtics,511,1109,228,1537,4035,0.466,1882,1102,0.783,863,459,911,5230,338,1627,0.371,603,1996,670,2408,0.531,1279,970,5278,12,372,1617,0.377,609,2069,654,2555,0.527,1347
12,TOR,1163,256,1495,4146,0.446,1851,1027,0.826,848,47,11280,Toronto Raptors,435,1248,279,1690,3980,0.46,1832,1211,0.797,965,473,964,5288,321,1760,0.374,659,2163,764,2220,0.528,1173,1041,5270,13,379,1922,0.375,720,1930,633,2224,0.509,1131
13,WAS,1146,172,1602,4124,0.466,1922,1218,0.764,931,46,11065,Washington Wizards,428,1112,221,1686,4183,0.473,1977,1196,0.778,930,473,1035,5486,372,1570,0.383,602,2159,687,2613,0.526,1375,1024,5269,14,336,1429,0.346,494,2030,671,2695,0.53,1428
14,PHO,1242,190,1617,4039,0.486,1962,843,0.834,703,46,11165,Phoenix Suns,394,1003,172,1545,3989,0.456,1819,1012,0.764,773,439,827,4927,323,1508,0.342,516,1984,607,2481,0.525,1303,894,5221,15,310,1588,0.374,594,2011,606,2451,0.558,1368
